"simulation","method","lambda","rank","effective_rank","rmse","converged"
1,"ICA (oracle)",NA,5,5,0.252412554008752,TRUE
1,"ICA (oracle)",NA,6,6,0.281227434188526,TRUE
1,"ICA (oracle)",NA,7,7,0.307009450708721,TRUE
1,"ICA (oracle)",NA,8,8,0.330507420598157,TRUE
1,"ICA (oracle)",NA,9,9,0.352063350144905,FALSE
1,"ICA (oracle)",NA,10,10,0.372254203960148,FALSE
1,"ICA (oracle)",NA,11,11,0.391258212676094,FALSE
1,"ICA (oracle)",NA,12,12,0.409252217378323,FALSE
1,"ICA (oracle)",NA,13,13,0.426233306180713,FALSE
1,"ICA (oracle)",NA,14,14,0.442431764420721,FALSE
1,"ICA (oracle)",NA,15,15,0.457833078681667,FALSE
1,"ICA (oracle)",NA,16,16,0.472646458832832,FALSE
1,"ICA (oracle)",NA,17,17,0.486995566902804,FALSE
1,"ICA (oracle)",NA,18,18,0.500859299799571,FALSE
1,"ICA (oracle)",NA,19,19,0.514087720626473,FALSE
1,"ICA (oracle)",NA,20,20,0.527002046576832,FALSE
1,"ICA (oracle)",NA,21,21,0.539413000170125,FALSE
1,"ICA (oracle)",NA,22,22,0.551431590381797,FALSE
1,"ICA (oracle)",NA,23,23,0.563043461765286,FALSE
1,"ICA (oracle)",NA,24,24,0.574344328751025,FALSE
1,"ICA (oracle)",NA,25,25,0.585317492256448,FALSE
1,"ICA (oracle)",NA,26,26,0.595959533577037,FALSE
1,"ICA (oracle)",NA,27,27,0.606348611722011,FALSE
1,"ICA (oracle)",NA,28,28,0.616440792075749,FALSE
1,"ICA (oracle)",NA,29,29,0.626320289071456,FALSE
1,"ICA (oracle)",NA,30,30,0.636030650685989,FALSE
1,"SoftImpute (oracle)",1,0,0,0.777444540076908,NA
1,"SoftImpute (oracle)",1,1,1,0.486418788771875,NA
1,"SoftImpute (oracle)",1,2,2,0.35799093109036,NA
1,"SoftImpute (oracle)",1,3,3,0.177815321422642,NA
1,"SoftImpute (oracle)",1,4,4,0.217250266810473,NA
1,"SoftImpute (oracle)",1,5,5,0.24962105264666,NA
1,"SoftImpute (oracle)",1,6,6,0.277737076088456,NA
1,"SoftImpute (oracle)",1,7,7,0.302915950021292,NA
1,"SoftImpute (oracle)",1,8,8,0.325877371320045,NA
1,"SoftImpute (oracle)",1,9,9,0.346946743530105,NA
1,"SoftImpute (oracle)",1,10,10,0.366688979367062,NA
1,"SoftImpute (oracle)",1,11,11,0.385275104097391,NA
1,"SoftImpute (oracle)",1,12,12,0.402876601666864,NA
1,"SoftImpute (oracle)",1,13,13,0.419486982891733,NA
1,"SoftImpute (oracle)",1,14,14,0.435333059344681,NA
1,"SoftImpute (oracle)",1,15,15,0.450398197193524,NA
1,"SoftImpute (oracle)",1,16,16,0.464889276175245,NA
1,"SoftImpute (oracle)",1,17,17,0.478928241415559,NA
1,"SoftImpute (oracle)",1,18,18,0.492492898497995,NA
1,"SoftImpute (oracle)",1,19,19,0.505432694127673,NA
1,"SoftImpute (oracle)",1,20,20,0.518067201661408,NA
1,"SoftImpute (oracle)",1,21,21,0.53020690151577,NA
1,"SoftImpute (oracle)",1,22,22,0.541961907743501,NA
1,"SoftImpute (oracle)",1,23,23,0.553317362902547,NA
1,"SoftImpute (oracle)",1,24,24,0.564368277028144,NA
1,"SoftImpute (oracle)",1,25,25,0.575097581118931,NA
1,"SoftImpute (oracle)",1,26,26,0.585501498474784,NA
1,"SoftImpute (oracle)",1,27,27,0.595657670388616,NA
1,"SoftImpute (oracle)",1,28,28,0.6055219809751,NA
1,"SoftImpute (oracle)",1,29,29,0.615178174512103,NA
1,"SoftImpute (oracle)",1,30,30,0.624669461777837,NA
2,"PCA (oracle)",NA,0,0,0.804459994259563,NA
2,"PCA (oracle)",NA,1,1,0.494213333481468,NA
2,"PCA (oracle)",NA,2,2,0.344521799764849,NA
2,"PCA (oracle)",NA,3,3,0.176453373441628,NA
2,"PCA (oracle)",NA,4,4,0.217309679205143,NA
2,"PCA (oracle)",NA,5,5,0.250593868699614,NA
2,"PCA (oracle)",NA,6,6,0.279859197311776,NA
2,"PCA (oracle)",NA,7,7,0.305932186123545,NA
2,"PCA (oracle)",NA,8,8,0.329658419289742,NA
2,"PCA (oracle)",NA,9,9,0.351736080614181,NA
2,"PCA (oracle)",NA,10,10,0.372002108031809,NA
2,"PCA (oracle)",NA,11,11,0.391040032706297,NA
2,"PCA (oracle)",NA,12,12,0.408906661098736,NA
2,"PCA (oracle)",NA,13,13,0.425767878295829,NA
2,"PCA (oracle)",NA,14,14,0.4418618013941,NA
2,"PCA (oracle)",NA,15,15,0.457340201000101,NA
2,"PCA (oracle)",NA,16,16,0.472211347150652,NA
2,"PCA (oracle)",NA,17,17,0.486556093031787,NA
2,"PCA (oracle)",NA,18,18,0.500339619284292,NA
2,"PCA (oracle)",NA,19,19,0.513585071355176,NA
2,"PCA (oracle)",NA,20,20,0.526237918221853,NA
2,"PCA (oracle)",NA,21,21,0.538536029501225,NA
2,"PCA (oracle)",NA,22,22,0.55038360731432,NA
2,"PCA (oracle)",NA,23,23,0.561922711003726,NA
2,"PCA (oracle)",NA,24,24,0.57316348111272,NA
2,"PCA (oracle)",NA,25,25,0.584106730210938,NA
2,"PCA (oracle)",NA,26,26,0.594789402389585,NA
2,"PCA (oracle)",NA,27,27,0.605187721298847,NA
2,"PCA (oracle)",NA,28,28,0.615346644204648,NA
2,"PCA (oracle)",NA,29,29,0.625287193576179,NA
2,"PCA (oracle)",NA,30,30,0.635023417817031,NA
2,"ICA (oracle)",NA,0,0,0.804459994259563,NA
2,"ICA (oracle)",NA,1,1,0.494213333481468,TRUE
2,"ICA (oracle)",NA,2,2,0.344521799764849,TRUE
2,"ICA (oracle)",NA,3,3,0.176453373441628,TRUE
2,"ICA (oracle)",NA,4,4,0.217309679205143,TRUE
2,"ICA (oracle)",NA,5,5,0.250593868699614,TRUE
2,"ICA (oracle)",NA,6,6,0.279859197311776,TRUE
2,"ICA (oracle)",NA,7,7,0.305932186123545,TRUE
2,"ICA (oracle)",NA,8,8,0.329658419289742,FALSE
2,"ICA (oracle)",NA,9,9,0.351736080614181,FALSE
2,"ICA (oracle)",NA,10,10,0.372002108031809,FALSE
2,"ICA (oracle)",NA,11,11,0.391040032706296,FALSE
2,"ICA (oracle)",NA,12,12,0.408906661098736,FALSE
2,"ICA (oracle)",NA,13,13,0.425767878295829,FALSE
2,"ICA (oracle)",NA,14,14,0.4418618013941,FALSE
2,"ICA (oracle)",NA,15,15,0.4573402010001,FALSE
2,"ICA (oracle)",NA,16,16,0.472211347150652,FALSE
2,"ICA (oracle)",NA,17,17,0.486556093031787,FALSE
2,"ICA (oracle)",NA,18,18,0.500339619284292,FALSE
2,"ICA (oracle)",NA,19,19,0.513585071355176,FALSE
2,"ICA (oracle)",NA,20,20,0.526237918221853,FALSE
2,"ICA (oracle)",NA,21,21,0.538536029501225,FALSE
2,"ICA (oracle)",NA,22,22,0.55038360731432,FALSE
2,"ICA (oracle)",NA,23,23,0.561922711003727,FALSE
2,"ICA (oracle)",NA,24,24,0.573163481112721,FALSE
2,"ICA (oracle)",NA,25,25,0.584106730210938,FALSE
2,"ICA (oracle)",NA,26,26,0.594789402389585,FALSE
2,"ICA (oracle)",NA,27,27,0.605187721298847,FALSE
2,"ICA (oracle)",NA,28,28,0.615346644204648,FALSE
2,"ICA (oracle)",NA,29,29,0.625287193576178,FALSE
2,"ICA (oracle)",NA,30,30,0.635023417817031,FALSE
2,"SoftImpute (oracle)",1,0,0,0.804459994259563,NA
2,"SoftImpute (oracle)",1,1,1,0.494167822786323,NA
2,"SoftImpute (oracle)",1,2,2,0.344275193416964,NA
2,"SoftImpute (oracle)",1,3,3,0.175613757449413,NA
2,"SoftImpute (oracle)",1,4,4,0.21532687191671,NA
2,"SoftImpute (oracle)",1,5,5,0.247762691020882,NA
2,"SoftImpute (oracle)",1,6,6,0.276329566043152,NA
2,"SoftImpute (oracle)",1,7,7,0.301800713856071,NA
2,"SoftImpute (oracle)",1,8,8,0.324991780129986,NA
2,"SoftImpute (oracle)",1,9,9,0.346582942743332,NA
2,"SoftImpute (oracle)",1,10,10,0.366401992273581,NA
2,"SoftImpute (oracle)",1,11,11,0.385023565410836,NA
2,"SoftImpute (oracle)",1,12,12,0.402499502437578,NA
2,"SoftImpute (oracle)",1,13,13,0.418991573030916,NA
2,"SoftImpute (oracle)",1,14,14,0.434734450151095,NA
2,"SoftImpute (oracle)",1,15,15,0.449877369538736,NA
2,"SoftImpute (oracle)",1,16,16,0.464426894635182,NA
2,"SoftImpute (oracle)",1,17,17,0.4784622746293,NA
2,"SoftImpute (oracle)",1,18,18,0.491947618501696,NA
2,"SoftImpute (oracle)",1,19,19,0.504905026664961,NA
2,"SoftImpute (oracle)",1,20,20,0.517279267506912,NA
2,"SoftImpute (oracle)",1,21,21,0.529306898728831,NA
2,"SoftImpute (oracle)",1,22,22,0.540891757909172,NA
2,"SoftImpute (oracle)",1,23,23,0.552175022666238,NA
2,"SoftImpute (oracle)",1,24,24,0.563166352132197,NA
2,"SoftImpute (oracle)",1,25,25,0.573866152285143,NA
2,"SoftImpute (oracle)",1,26,26,0.584310918801457,NA
2,"SoftImpute (oracle)",1,27,27,0.594476610013299,NA
2,"SoftImpute (oracle)",1,28,28,0.604407786304972,NA
2,"SoftImpute (oracle)",1,29,29,0.614125161267219,NA
2,"SoftImpute (oracle)",1,30,30,0.623642516433995,NA
3,"PCA (oracle)",NA,0,0,0.732933969667366,NA
3,"PCA (oracle)",NA,1,1,0.468589795041747,NA
3,"PCA (oracle)",NA,2,2,0.327291875996829,NA
3,"PCA (oracle)",NA,3,3,0.175786365162496,NA
3,"PCA (oracle)",NA,4,4,0.215972236026674,NA
3,"PCA (oracle)",NA,5,5,0.249352066194744,NA
3,"PCA (oracle)",NA,6,6,0.278453305243874,NA
3,"PCA (oracle)",NA,7,7,0.304365798183579,NA
3,"PCA (oracle)",NA,8,8,0.327867621879625,NA
3,"PCA (oracle)",NA,9,9,0.349438372586512,NA
3,"PCA (oracle)",NA,10,10,0.369555519852536,NA
3,"PCA (oracle)",NA,11,11,0.388622651900494,NA
3,"PCA (oracle)",NA,12,12,0.406612403264118,NA
3,"PCA (oracle)",NA,13,13,0.423484078210777,NA
3,"PCA (oracle)",NA,14,14,0.43973462088228,NA
3,"PCA (oracle)",NA,15,15,0.45501626488803,NA
3,"PCA (oracle)",NA,16,16,0.469657472354155,NA
3,"PCA (oracle)",NA,17,17,0.483788077746276,NA
3,"PCA (oracle)",NA,18,18,0.497500800645338,NA
3,"PCA (oracle)",NA,19,19,0.510698970325909,NA
3,"PCA (oracle)",NA,20,20,0.523531329006554,NA
3,"PCA (oracle)",NA,21,21,0.535977563046476,NA
3,"PCA (oracle)",NA,22,22,0.548061754033617,NA
3,"PCA (oracle)",NA,23,23,0.559764648283577,NA
