"simulation","method","n_components","selected_rank","effective_rank","rmse","elbo","lambda","raw_rmse","rmse_gain","relative_rmse_gain"
6,"EBMF= GB+pt Laplace",6,6,6,0.125182083993478,-330931.573704739,NA,1.25136514650578,1.1261830625123,0.899963584295897
6,"cEBMF= cGB + pt Normal",10,10,10,0.0809563632709272,NA,NA,1.25136514650578,1.17040878323485,0.935305563290632
6,"PCA (oracle)",3,3,3,0.176677377307789,NA,NA,1.25136514650578,1.07468776919799,0.858812291679108
6,"ICA (oracle)",3,3,3,0.176677377307789,NA,NA,1.25136514650578,1.07468776919799,0.858812291679108
6,"SoftImpute (oracle)",3,3,3,0.175851955141472,NA,1,1.25136514650578,1.07551319136431,0.859471909032701
7,"No denoising (Z)",NA,NA,NA,1.24868004928427,NA,NA,1.24868004928427,0,0
7,"EBMF= GB+pt Laplace",5,5,5,0.15548564292858,-330207.130045918,NA,1.24868004928427,1.09319440635569,0.875479997443939
7,"cEBMF= cGB + pt Normal",10,10,10,0.0787275960509923,NA,NA,1.24868004928427,1.16995245323327,0.936951346266709
7,"PCA (oracle)",3,3,3,0.176995418271805,NA,NA,1.24868004928427,1.07168463101246,0.858253987181699
7,"ICA (oracle)",3,3,3,0.176995418271804,NA,NA,1.24868004928427,1.07168463101246,0.858253987181699
7,"SoftImpute (oracle)",3,3,3,0.176159070812373,NA,1,1.24868004928427,1.07252097847189,0.858923772416044
8,"No denoising (Z)",NA,NA,NA,1.25097549100572,NA,NA,1.25097549100572,0,0
8,"EBMF= GB+pt Laplace",7,7,7,0.108847536585264,-332197.681228233,NA,1.25097549100572,1.14212795442045,0.912989872808974
8,"cEBMF= cGB + pt Normal",10,10,10,0.0771687335863643,NA,NA,1.25097549100572,1.17380675741935,0.938313153102364
8,"PCA (oracle)",3,3,3,0.176676112069397,NA,NA,1.25097549100572,1.07429937893632,0.858769325746455
8,"ICA (oracle)",3,3,3,0.176676112069397,NA,NA,1.25097549100572,1.07429937893632,0.858769325746455
