"simulation","method","lambda","rank","effective_rank","rmse","converged"
6,"SoftImpute (oracle)",1,7,7,0.269615896203368,NA
6,"SoftImpute (oracle)",1,8,8,0.296365898434859,NA
6,"SoftImpute (oracle)",1,9,9,0.320118061579311,NA
6,"SoftImpute (oracle)",1,10,10,0.342064224461037,NA
7,"PCA (oracle)",NA,0,0,0.847041646995233,NA
7,"PCA (oracle)",NA,1,1,0.748347722780537,NA
7,"PCA (oracle)",NA,2,2,0.653717177462359,NA
7,"PCA (oracle)",NA,3,3,0.555779075771533,NA
7,"PCA (oracle)",NA,4,4,0.451271960397181,NA
7,"PCA (oracle)",NA,5,5,0.355518780909386,NA
7,"PCA (oracle)",NA,6,6,0.247708593729353,NA
7,"PCA (oracle)",NA,7,7,0.277928083217563,NA
7,"PCA (oracle)",NA,8,8,0.304839712000571,NA
7,"PCA (oracle)",NA,9,9,0.328522391556039,NA
7,"PCA (oracle)",NA,10,10,0.350582437402754,NA
7,"ICA (oracle)",NA,0,0,0.847041646995233,NA
7,"ICA (oracle)",NA,1,1,0.748347722780538,TRUE
7,"ICA (oracle)",NA,2,2,0.653717177462359,TRUE
7,"ICA (oracle)",NA,3,3,0.555779075771533,TRUE
7,"ICA (oracle)",NA,4,4,0.451271960397182,TRUE
7,"ICA (oracle)",NA,5,5,0.355518780909386,TRUE
7,"ICA (oracle)",NA,6,6,0.247708593729353,TRUE
7,"ICA (oracle)",NA,7,7,0.277928083217563,TRUE
7,"ICA (oracle)",NA,8,8,0.304839712000571,FALSE
7,"ICA (oracle)",NA,9,9,0.328522391556039,FALSE
7,"ICA (oracle)",NA,10,10,0.350582437402754,FALSE
7,"SoftImpute (oracle)",1,0,0,0.847041646995233,NA
7,"SoftImpute (oracle)",1,1,1,0.748284043141856,NA
7,"SoftImpute (oracle)",1,2,2,0.653567135817152,NA
7,"SoftImpute (oracle)",1,3,3,0.555484077257438,NA
7,"SoftImpute (oracle)",1,4,4,0.450791746836603,NA
7,"SoftImpute (oracle)",1,5,5,0.354711718993516,NA
7,"SoftImpute (oracle)",1,6,6,0.246241949456026,NA
7,"SoftImpute (oracle)",1,7,7,0.27561010532617,NA
7,"SoftImpute (oracle)",1,8,8,0.30180971324351,NA
7,"SoftImpute (oracle)",1,9,9,0.324878588708283,NA
7,"SoftImpute (oracle)",1,10,10,0.346388227197859,NA
8,"PCA (oracle)",NA,0,0,0.877120300370723,NA
8,"PCA (oracle)",NA,1,1,0.782566003467863,NA
8,"PCA (oracle)",NA,2,2,0.684224548472464,NA
8,"PCA (oracle)",NA,3,3,0.588164096714278,NA
8,"PCA (oracle)",NA,4,4,0.486093979090679,NA
8,"PCA (oracle)",NA,5,5,0.372690502568576,NA
8,"PCA (oracle)",NA,6,6,0.243368890050196,NA
8,"PCA (oracle)",NA,7,7,0.273936712963764,NA
8,"PCA (oracle)",NA,8,8,0.301043204272329,NA
8,"PCA (oracle)",NA,9,9,0.325361549674366,NA
8,"PCA (oracle)",NA,10,10,0.347720744100552,NA
8,"ICA (oracle)",NA,0,0,0.877120300370723,NA
8,"ICA (oracle)",NA,1,1,0.782566003467864,TRUE
8,"ICA (oracle)",NA,2,2,0.684224548472464,TRUE
8,"ICA (oracle)",NA,3,3,0.588164096714278,TRUE
8,"ICA (oracle)",NA,4,4,0.486093979090679,TRUE
8,"ICA (oracle)",NA,5,5,0.372690502568576,TRUE
8,"ICA (oracle)",NA,6,6,0.243368890050196,TRUE
8,"ICA (oracle)",NA,7,7,0.273936712963764,TRUE
8,"ICA (oracle)",NA,8,8,0.301043204272329,TRUE
8,"ICA (oracle)",NA,9,9,0.325361549674367,TRUE
8,"ICA (oracle)",NA,10,10,0.347720744100552,TRUE
8,"SoftImpute (oracle)",1,0,0,0.877120300370723,NA
8,"SoftImpute (oracle)",1,1,1,0.782499121184206,NA
8,"SoftImpute (oracle)",1,2,2,0.684076196139386,NA
8,"SoftImpute (oracle)",1,3,3,0.587896215527598,NA
8,"SoftImpute (oracle)",1,4,4,0.485641265935807,NA
8,"SoftImpute (oracle)",1,5,5,0.371930636271514,NA
8,"SoftImpute (oracle)",1,6,6,0.241904677258439,NA
8,"SoftImpute (oracle)",1,7,7,0.271612611302536,NA
8,"SoftImpute (oracle)",1,8,8,0.298002995669987,NA
8,"SoftImpute (oracle)",1,9,9,0.321701647349063,NA
8,"SoftImpute (oracle)",1,10,10,0.343508224689355,NA
9,"PCA (oracle)",NA,0,0,0.873464893408429,NA
9,"PCA (oracle)",NA,1,1,0.769708631691027,NA
9,"PCA (oracle)",NA,2,2,0.673715256000015,NA
9,"PCA (oracle)",NA,3,3,0.569862483716724,NA
9,"PCA (oracle)",NA,4,4,0.477440729884096,NA
9,"PCA (oracle)",NA,5,5,0.367012994052604,NA
9,"PCA (oracle)",NA,6,6,0.24377483980494,NA
9,"PCA (oracle)",NA,7,7,0.27412826373194,NA
9,"PCA (oracle)",NA,8,8,0.301179636054346,NA
9,"PCA (oracle)",NA,9,9,0.32567487028891,NA
9,"PCA (oracle)",NA,10,10,0.347924244469647,NA
9,"ICA (oracle)",NA,0,0,0.873464893408429,NA
9,"ICA (oracle)",NA,1,1,0.769708631691027,TRUE
9,"ICA (oracle)",NA,2,2,0.673715256000015,TRUE
9,"ICA (oracle)",NA,3,3,0.569862483716724,TRUE
9,"ICA (oracle)",NA,4,4,0.477440729884096,TRUE
9,"ICA (oracle)",NA,5,5,0.367012994052604,TRUE
9,"ICA (oracle)",NA,6,6,0.24377483980494,TRUE
9,"ICA (oracle)",NA,7,7,0.27412826373194,TRUE
9,"ICA (oracle)",NA,8,8,0.301179636054346,FALSE
9,"ICA (oracle)",NA,9,9,0.32567487028891,FALSE
9,"ICA (oracle)",NA,10,10,0.347924244469647,FALSE
9,"SoftImpute (oracle)",1,0,0,0.873464893408429,NA
9,"SoftImpute (oracle)",1,1,1,0.7696415481325,NA
9,"SoftImpute (oracle)",1,2,2,0.673555242027801,NA
9,"SoftImpute (oracle)",1,3,3,0.569591369117196,NA
9,"SoftImpute (oracle)",1,4,4,0.476997296977571,NA
9,"SoftImpute (oracle)",1,5,5,0.366285062826265,NA
9,"SoftImpute (oracle)",1,6,6,0.242407971531013,NA
9,"SoftImpute (oracle)",1,7,7,0.271893436566885,NA
9,"SoftImpute (oracle)",1,8,8,0.298221401892444,NA
9,"SoftImpute (oracle)",1,9,9,0.322089719451067,NA
9,"SoftImpute (oracle)",1,10,10,0.343782573744172,NA
