"simulation","method","n_components","selected_rank","effective_rank","rmse","elbo","lambda","raw_rmse","rmse_gain","relative_rmse_gain"
2,"SoftImpute (oracle)",6,6,6,0.240647333321747,NA,1,1.24919478014245,1.0085474468207,0.807358038036065
3,"No denoising (Z)",NA,NA,NA,1.24840157996155,NA,NA,1.24840157996155,0,0
3,"EBMF= GB+pt Laplace",9,9,9,0.171230451140537,-332942.370776939,NA,1.24840157996155,1.07717112882101,0.86284024797068
3,"cEBMF= cGB + pt Normal",10,10,10,0.143609474179686,NA,NA,1.24840157996155,1.10479210578186,0.884965321668282
3,"PCA (oracle)",6,6,6,0.24245490193362,NA,NA,1.24840157996155,1.00594667802793,0.805787732228689
3,"ICA (oracle)",6,6,6,0.24245490193362,NA,NA,1.24840157996155,1.00594667802793,0.805787732228689
3,"SoftImpute (oracle)",6,6,6,0.241029650210483,NA,1,1.24840157996155,1.00737192975107,0.806929393490589
4,"No denoising (Z)",NA,NA,NA,1.25117388075741,NA,NA,1.25117388075741,0,0
4,"EBMF= GB+pt Laplace",10,10,10,0.239321210307109,-337877.121110602,NA,1.25117388075741,1.0118526704503,0.808722661184205
4,"cEBMF= cGB + pt Normal",10,10,10,0.187401289088312,NA,NA,1.25117388075741,1.0637725916691,0.850219628166417
4,"PCA (oracle)",6,6,6,0.246834866523187,NA,NA,1.25117388075741,1.00433901423422,0.802717375802504
4,"ICA (oracle)",6,6,6,0.246834866523188,NA,NA,1.25117388075741,1.00433901423422,0.802717375802503
4,"SoftImpute (oracle)",6,6,6,0.245444070101095,NA,1,1.25117388075741,1.00572981065631,0.80382896903785
5,"No denoising (Z)",NA,NA,NA,1.25521075961614,NA,NA,1.25521075961614,0,0
5,"EBMF= GB+pt Laplace",9,9,9,0.141787087947137,-335229.105532853,NA,1.25521075961614,1.11342367166901,0.887041210521095
5,"cEBMF= cGB + pt Normal",10,10,10,0.154347744722295,NA,NA,1.25521075961614,1.10086301489385,0.87703439957008
5,"PCA (oracle)",6,6,6,0.240129545521114,NA,NA,1.25521075961614,1.01508121409503,0.808693843897141
5,"ICA (oracle)",6,6,6,0.240129545521114,NA,NA,1.25521075961614,1.01508121409503,0.808693843897141
5,"SoftImpute (oracle)",6,6,6,0.238728671069641,NA,1,1.25521075961614,1.0164820885465,0.809809891095383
6,"No denoising (Z)",NA,NA,NA,1.25174277426926,NA,NA,1.25174277426926,0,0
6,"EBMF= GB+pt Laplace",10,10,10,0.141481764582572,-335493.730956373,NA,1.25174277426926,1.11026100968669,0.88697217392354
6,"cEBMF= cGB + pt Normal",10,10,10,0.166556451192581,NA,NA,1.25174277426926,1.08518632307668,0.866940353388648
6,"PCA (oracle)",6,6,6,0.240787009261259,NA,NA,1.25174277426926,1.010955765008,0.807638586608318
6,"ICA (oracle)",6,6,6,0.24078700926126,NA,NA,1.25174277426926,1.010955765008,0.807638586608318
6,"SoftImpute (oracle)",6,6,6,0.239492238293037,NA,1,1.25174277426926,1.01225053597622,0.808672961237705
7,"No denoising (Z)",NA,NA,NA,1.24946733358606,NA,NA,1.24946733358606,0,0
7,"EBMF= GB+pt Laplace",10,10,10,0.225134696560985,-336015.179443375,NA,1.24946733358606,1.02433263702507,0.81981546014906
7,"cEBMF= cGB + pt Normal",10,10,10,0.158645643047957,NA,NA,1.24946733358606,1.0908216905381,0.873029379173417
7,"PCA (oracle)",6,6,6,0.247708593729353,NA,NA,1.24946733358606,1.00175873985671,0.801748643545236
7,"ICA (oracle)",6,6,6,0.247708593729353,NA,NA,1.24946733358606,1.00175873985671,0.801748643545236
7,"SoftImpute (oracle)",6,6,6,0.246241949456026,NA,1,1.24946733358606,1.00322538413003,0.802922459165624
8,"No denoising (Z)",NA,NA,NA,1.25105403824733,NA,NA,1.25105403824733,0,0
8,"EBMF= GB+pt Laplace",10,10,10,0.203837539838615,-336585.188026775,NA,1.25105403824733,1.04721649840872,0.837067357918303
8,"cEBMF= cGB + pt Normal",10,10,10,0.157683216644929,NA,NA,1.25105403824733,1.0933708216024,0.873959707715075
8,"PCA (oracle)",6,6,6,0.243368890050196,NA,NA,1.25105403824733,1.00768514819713,0.805468922516612
8,"ICA (oracle)",6,6,6,0.243368890050196,NA,NA,1.25105403824733,1.00768514819713,0.805468922516613
8,"SoftImpute (oracle)",6,6,6,0.241904677258439,NA,1,1.25105403824733,1.00914936098889,0.806639305846983
9,"No denoising (Z)",NA,NA,NA,1.25133021741377,NA,NA,1.25133021741377,0,0
9,"EBMF= GB+pt Laplace",10,10,10,0.18204667802468,-336003.685178706,NA,1.25133021741377,1.06928353938909,0.854517476289407
9,"cEBMF= cGB + pt Normal",10,10,10,0.158857760201426,NA,NA,1.25133021741377,1.09247245721235,0.87304888990074
9,"PCA (oracle)",6,6,6,0.24377483980494,NA,NA,1.25133021741377,1.00755537760883,0.805187442601067
9,"ICA (oracle)",6,6,6,0.24377483980494,NA,NA,1.25133021741377,1.00755537760883,0.805187442601067
9,"SoftImpute (oracle)",6,6,6,0.242407971531013,NA,1,1.25133021741377,1.00892224588276,0.80627977478877
