"simulation","method","lambda","rank","effective_rank","rmse","converged"
1,"ICA (oracle)",NA,8,8,0.329658419289742,FALSE
1,"ICA (oracle)",NA,9,9,0.351736080614181,FALSE
1,"ICA (oracle)",NA,10,10,0.372002108031809,FALSE
1,"ICA (oracle)",NA,11,11,0.391040032706296,FALSE
1,"ICA (oracle)",NA,12,12,0.408906661098736,FALSE
1,"ICA (oracle)",NA,13,13,0.425767878295829,FALSE
1,"ICA (oracle)",NA,14,14,0.441861801394099,FALSE
1,"ICA (oracle)",NA,15,15,0.4573402010001,FALSE
1,"ICA (oracle)",NA,16,16,0.472211347150652,FALSE
1,"ICA (oracle)",NA,17,17,0.486556093031787,FALSE
1,"ICA (oracle)",NA,18,18,0.500339619284292,FALSE
1,"ICA (oracle)",NA,19,19,0.513585071355176,FALSE
1,"ICA (oracle)",NA,20,20,0.526237918221852,FALSE
1,"ICA (oracle)",NA,21,21,0.538536029501225,FALSE
1,"ICA (oracle)",NA,22,22,0.55038360731432,FALSE
1,"ICA (oracle)",NA,23,23,0.561922711003726,FALSE
1,"ICA (oracle)",NA,24,24,0.57316348111272,FALSE
1,"ICA (oracle)",NA,25,25,0.584106730210937,FALSE
1,"ICA (oracle)",NA,26,26,0.594789402389585,FALSE
1,"ICA (oracle)",NA,27,27,0.605187721298847,FALSE
1,"ICA (oracle)",NA,28,28,0.615346644204647,FALSE
1,"ICA (oracle)",NA,29,29,0.625287193576178,FALSE
1,"ICA (oracle)",NA,30,30,0.635023417817031,FALSE
1,"SoftImpute (oracle)",1,0,0,0.804459994259563,NA
1,"SoftImpute (oracle)",1,1,1,0.494167822786323,NA
1,"SoftImpute (oracle)",1,2,2,0.344275193416964,NA
1,"SoftImpute (oracle)",1,3,3,0.175613757449413,NA
1,"SoftImpute (oracle)",1,4,4,0.21532687191671,NA
1,"SoftImpute (oracle)",1,5,5,0.247762691020882,NA
1,"SoftImpute (oracle)",1,6,6,0.276329566043152,NA
1,"SoftImpute (oracle)",1,7,7,0.301800713856071,NA
1,"SoftImpute (oracle)",1,8,8,0.324991780129986,NA
1,"SoftImpute (oracle)",1,9,9,0.346582942743332,NA
1,"SoftImpute (oracle)",1,10,10,0.366401992273581,NA
1,"SoftImpute (oracle)",1,11,11,0.385023565410836,NA
1,"SoftImpute (oracle)",1,12,12,0.402499502437578,NA
1,"SoftImpute (oracle)",1,13,13,0.418991573030916,NA
1,"SoftImpute (oracle)",1,14,14,0.434734450151095,NA
1,"SoftImpute (oracle)",1,15,15,0.449877369538736,NA
1,"SoftImpute (oracle)",1,16,16,0.464426894635182,NA
1,"SoftImpute (oracle)",1,17,17,0.4784622746293,NA
1,"SoftImpute (oracle)",1,18,18,0.491947618501696,NA
1,"SoftImpute (oracle)",1,19,19,0.504905026664961,NA
1,"SoftImpute (oracle)",1,20,20,0.517279267506912,NA
1,"SoftImpute (oracle)",1,21,21,0.529306898728831,NA
1,"SoftImpute (oracle)",1,22,22,0.540891757909172,NA
1,"SoftImpute (oracle)",1,23,23,0.552175022666238,NA
1,"SoftImpute (oracle)",1,24,24,0.563166352132197,NA
1,"SoftImpute (oracle)",1,25,25,0.573866152285143,NA
1,"SoftImpute (oracle)",1,26,26,0.584310918801457,NA
1,"SoftImpute (oracle)",1,27,27,0.594476610013299,NA
