"simulation","method","n_components","selected_rank","effective_rank","rmse","elbo","lambda","raw_rmse","rmse_gain","relative_rmse_gain"
12,"ICA (oracle)",3,3,3,0.173307690693416,NA,NA,1.25188686217699,1.07857917148358,0.861562816952932
12,"SoftImpute (oracle)",3,3,3,0.172625027068145,NA,1,1.25188686217699,1.07926183510885,0.862108124716673
13,"No denoising (Z)",NA,NA,NA,1.24500525905179,NA,NA,1.24500525905179,0,0
13,"EBMF= GB+pt Laplace",7,7,7,0.118089299206331,-331257.103767373,NA,1.24500525905179,1.12691595984546,0.905149557925346
13,"cEBMF= cGB + pt Normal",10,10,10,0.0802537293748843,NA,NA,1.24500525905179,1.1647515296769,0.93553944548314
13,"PCA (oracle)",3,3,3,0.175293334707683,NA,NA,1.24500525905179,1.0697119243441,0.859202735544114
13,"ICA (oracle)",3,3,3,0.175293334707683,NA,NA,1.24500525905179,1.0697119243441,0.859202735544114
13,"SoftImpute (oracle)",3,3,3,0.174540607370645,NA,1,1.24500525905179,1.07046465168114,0.859807333260924
14,"No denoising (Z)",NA,NA,NA,1.24847664226993,NA,NA,1.24847664226993,0,0
14,"EBMF= GB+pt Laplace",6,6,6,0.111233796880027,-331505.888280213,NA,1.24847664226993,1.13724284538991,0.910904382898357
14,"cEBMF= cGB + pt Normal",10,10,10,0.0824498356662916,NA,NA,1.24847664226993,1.16602680660364,0.933959649003617
14,"PCA (oracle)",3,3,3,0.175517100373403,NA,NA,1.24847664226993,1.07295954189653,0.85941499069275
14,"ICA (oracle)",3,3,3,0.175517100373403,NA,NA,1.24847664226993,1.07295954189653,0.85941499069275
14,"SoftImpute (oracle)",3,3,3,0.174719847707682,NA,1,1.24847664226993,1.07375679456225,0.860053571054391
15,"No denoising (Z)",NA,NA,NA,1.25100955937666,NA,NA,1.25100955937666,0,0
15,"EBMF= GB+pt Laplace",7,7,7,0.115007459352084,-331621.80820766,NA,1.25100955937666,1.13600210002458,0.908068280941523
15,"cEBMF= cGB + pt Normal",10,10,10,0.0778163893701109,NA,NA,1.25100955937666,1.17319317000655,0.93779712649927
15,"PCA (oracle)",3,3,3,0.173450213677051,NA,NA,1.25100955937666,1.07755934569961,0.861351807924253
15,"ICA (oracle)",3,3,3,0.173450213677051,NA,NA,1.25100955937666,1.07755934569961,0.861351807924253
15,"SoftImpute (oracle)",3,3,3,0.172603461048738,NA,1,1.25100955937666,1.07840609832792,0.862028663366296
16,"No denoising (Z)",NA,NA,NA,1.25160444494173,NA,NA,1.25160444494173,0,0
16,"EBMF= GB+pt Laplace",6,6,6,0.103543477404087,-332061.165096656,NA,1.25160444494173,1.14806096753764,0.91727140485754
16,"cEBMF= cGB + pt Normal",10,10,10,0.0850174899408856,NA,NA,1.25160444494173,1.16658695500085,0.932073195901087
16,"PCA (oracle)",3,3,3,0.173539066219112,NA,NA,1.25160444494173,1.07806537872262,0.861346716272495
16,"ICA (oracle)",3,3,3,0.173539066219112,NA,NA,1.25160444494173,1.07806537872262,0.861346716272495
16,"SoftImpute (oracle)",3,3,3,0.172664356385398,NA,1,1.25160444494173,1.07894008855633,0.862045587099656
17,"No denoising (Z)",NA,NA,NA,1.25236953033073,NA,NA,1.25236953033073,0,0
17,"EBMF= GB+pt Laplace",6,6,6,0.106993698123001,-332150.131694184,NA,1.25236953033073,1.14537583220773,0.914566990387617
17,"cEBMF= cGB + pt Normal",10,10,10,0.0781200182200665,NA,NA,1.25236953033073,1.17424951211066,0.937622230237878
17,"PCA (oracle)",3,3,3,0.173103524897586,NA,NA,1.25236953033073,1.07926600543315,0.86177919479415
17,"ICA (oracle)",3,3,3,0.173103524897586,NA,NA,1.25236953033073,1.07926600543315,0.86177919479415
17,"SoftImpute (oracle)",3,3,3,0.172323281344232,NA,1,1.25236953033073,1.0800462489865,0.862402208636676
18,"No denoising (Z)",NA,NA,NA,1.25169868220261,NA,NA,1.25169868220261,0,0
18,"EBMF= GB+pt Laplace",6,6,6,0.23439281303669,-331217.381388489,NA,1.25169868220261,1.01730586916592,0.812740225447686
18,"cEBMF= cGB + pt Normal",10,10,10,0.0862648476489768,NA,NA,1.25169868220261,1.16543383455364,0.931081778006528
18,"PCA (oracle)",3,3,3,0.17847839712817,NA,NA,1.25169868220261,1.07322028507444,0.857411052942788
18,"ICA (oracle)",3,3,3,0.17847839712817,NA,NA,1.25169868220261,1.07322028507444,0.857411052942788
18,"SoftImpute (oracle)",3,3,3,0.177570337449271,NA,1,1.25169868220261,1.07412834475334,0.858136514822561
19,"No denoising (Z)",NA,NA,NA,1.24948186222986,NA,NA,1.24948186222986,0,0
19,"EBMF= GB+pt Laplace",6,6,6,0.113592490803665,-331200.528611873,NA,1.24948186222986,1.1358893714262,0.909088323538411
19,"cEBMF= cGB + pt Normal",10,10,10,0.0785374265414863,NA,NA,1.24948186222986,1.17094443568838,0.937144004314456
19,"PCA (oracle)",3,3,3,0.178493220540617,NA,NA,1.24948186222986,1.07098864168925,0.857146209211815
19,"ICA (oracle)",3,3,3,0.178493220540617,NA,NA,1.24948186222986,1.07098864168925,0.857146209211815
19,"SoftImpute (oracle)",3,3,3,0.177709067404948,NA,1,1.24948186222986,1.07177279482492,0.857773791859769
20,"No denoising (Z)",NA,NA,NA,1.25151738908103,NA,NA,1.25151738908103,0,0
20,"EBMF= GB+pt Laplace",7,7,7,0.112402224113107,-332335.171486214,NA,1.25151738908103,1.13911516496792,0.910187245424019
20,"cEBMF= cGB + pt Normal",10,10,10,0.0789203147727618,NA,NA,1.25151738908103,1.17259707430827,0.936940297065539
20,"PCA (oracle)",3,3,3,0.176238090612075,NA,NA,1.25151738908103,1.07527929846895,0.859180469924206
20,"ICA (oracle)",3,3,3,0.176238090612075,NA,NA,1.25151738908103,1.07527929846895,0.859180469924206
20,"SoftImpute (oracle)",3,3,3,0.175475253201807,NA,1,1.25151738908103,1.07604213587922,0.859789999937072
21,"No denoising (Z)",NA,NA,NA,1.25065373625052,NA,NA,1.25065373625052,0,0
21,"EBMF= GB+pt Laplace",7,7,7,0.108119507328059,-332148.976686321,NA,1.25065373625052,1.14253422892246,0.913549606742308
21,"cEBMF= cGB + pt Normal",10,10,10,0.077007641923695,NA,NA,1.25065373625052,1.17364609432682,0.938426088939241
21,"PCA (oracle)",3,3,3,0.176756258236187,NA,NA,1.25065373625052,1.07389747801433,0.858668908017574
21,"ICA (oracle)",3,3,3,0.176756258236187,NA,NA,1.25065373625052,1.07389747801433,0.858668908017574
21,"SoftImpute (oracle)",3,3,3,0.175889650326594,NA,1,1.25065373625052,1.07476408592392,0.859361831953651
22,"No denoising (Z)",NA,NA,NA,1.2493297305692,NA,NA,1.2493297305692,0,0
22,"EBMF= GB+pt Laplace",5,5,5,0.11686434137823,-330358.951551042,NA,1.2493297305692,1.13246538919097,0.906458368420492
22,"cEBMF= cGB + pt Normal",10,10,10,0.0784126216414577,NA,NA,1.2493297305692,1.17091710892774,0.937236247787257
22,"PCA (oracle)",3,3,3,0.175067982252799,NA,NA,1.2493297305692,1.0742617483164,0.859870474567961
22,"ICA (oracle)",3,3,3,0.175067982252798,NA,NA,1.2493297305692,1.0742617483164,0.859870474567961
22,"SoftImpute (oracle)",3,3,3,0.174253149457378,NA,1,1.2493297305692,1.07507658111182,0.860522690532637
23,"No denoising (Z)",NA,NA,NA,1.25002700172419,NA,NA,1.25002700172419,0,0
23,"EBMF= GB+pt Laplace",7,7,7,0.106428661441874,-331314.316420752,NA,1.25002700172419,1.14359834028231,0.914858910011484
23,"cEBMF= cGB + pt Normal",10,10,10,0.0836331111686212,NA,NA,1.25002700172419,1.16639389055556,0.933094956306332
23,"PCA (oracle)",3,3,3,0.175313734761332,NA,NA,1.25002700172419,1.07471326696285,0.859752041740283
23,"ICA (oracle)",3,3,3,0.175313734761332,NA,NA,1.25002700172419,1.07471326696285,0.859752041740283
23,"SoftImpute (oracle)",3,3,3,0.174593528407856,NA,1,1.25002700172419,1.07543347331633,0.860328194377373
24,"No denoising (Z)",NA,NA,NA,1.25149089686062,NA,NA,1.25149089686062,0,0
24,"EBMF= GB+pt Laplace",7,7,7,0.108431036077898,-331677.198913729,NA,1.25149089686062,1.14305986078272,0.913358509958084
24,"cEBMF= cGB + pt Normal",10,10,10,0.0845017438260858,NA,NA,1.25149089686062,1.16698915303454,0.932479138251777
24,"PCA (oracle)",3,3,3,0.171698933461956,NA,NA,1.25149089686062,1.07979196339867,0.862804488716087
24,"ICA (oracle)",3,3,3,0.171698933461956,NA,NA,1.25149089686062,1.07979196339867,0.862804488716087
24,"SoftImpute (oracle)",3,3,3,0.170849180080249,NA,1,1.25149089686062,1.08064171678037,0.863483481574795
25,"No denoising (Z)",NA,NA,NA,1.24904790917143,NA,NA,1.24904790917143,0,0
25,"EBMF= GB+pt Laplace",7,7,7,0.112520259586121,-331239.6356899,NA,1.24904790917143,1.13652764958531,0.909915177184226
25,"cEBMF= cGB + pt Normal",10,10,10,0.0759807182284822,NA,NA,1.24904790917143,1.17306719094294,0.939169092177669
25,"PCA (oracle)",3,3,3,0.175933203242887,NA,NA,1.24904790917143,1.07311470592854,0.859146152880881
25,"ICA (oracle)",3,3,3,0.175933203242887,NA,NA,1.24904790917143,1.07311470592854,0.859146152880881
25,"SoftImpute (oracle)",3,3,3,0.175059129139674,NA,1,1.24904790917143,1.07398878003175,0.859845945176113
26,"No denoising (Z)",NA,NA,NA,1.24969238246669,NA,NA,1.24969238246669,0,0
26,"EBMF= GB+pt Laplace",7,7,7,0.102667387398608,-331336.542254946,NA,1.24969238246669,1.14702499506809,0.917845872441057
26,"cEBMF= cGB + pt Normal",10,10,10,0.080927207246395,NA,NA,1.24969238246669,1.1687651752203,0.935242297719174
26,"PCA (oracle)",3,3,3,0.173360267586281,NA,NA,1.24969238246669,1.07633211488041,0.861277647188586
26,"ICA (oracle)",3,3,3,0.173360267586282,NA,NA,1.24969238246669,1.07633211488041,0.861277647188586
26,"SoftImpute (oracle)",3,3,3,0.172486140912371,NA,1,1.24969238246669,1.07720624155432,0.861977120663958
27,"No denoising (Z)",NA,NA,NA,1.24787705465753,NA,NA,1.24787705465753,0,0
